Page / Section,Field,Example (from MVP),Required,Client value (fill here),Notes
Tenant,Organisation Name,Meldon,Must,,
Tenant,Administrator Name,Dan Reilly,Must,,
Tenant,Administrator Email,dan.reilly@meldon.co.uk,Must,,
Tenant,Status,Live,Must,,Live / Invited / Suspended
Tenant,Live Since,12 June,Nice,,
Tenant,Seed Routing Rules,Yes,Must,,Yes / No
Tenant,Require Review Before Sharing Needs Attention Now on High Energy,Yes,Must,,Yes / No
Tenant · Sites on detail,Site Name,Plant A,Must,,Repeat per site under tenant
Tenant · Sites on detail,Site In-Charge,Priya Shah,Must,,
Tenant · Back office accounts,Name,Dan Reilly,Must,,
Tenant · Back office accounts,Access,Tenant Admin,Must,,
Tenant · Back office accounts,Email,dan.reilly@meldon.co.uk,Must,,
Sign-in,Work Email,tom.wilson@meldon.co.uk,Must,,One row per demo account
Sign-in,Display Name,Tom Wilson,Must,,
Sign-in,Role Label,Supervisor,Must,,SafeIn5 Admin / Tenant Admin / Supervisor
Sign-in,Scope,Meldon · Plant A · Silo Rd,Must,,Shown in sidebar
Sites,Site Name,Plant A,Must,,Need ~3 sites
Sites,Site In-Charge,Priya Shah,Must,,
Sites,Default Supervisor,Tom Wilson,Must,,
Sites,Require Review Before Sharing Needs Attention Now on High Energy,Yes,Must,,Yes / No
Routing Rule,Hazard Category,Confined space,Must,,12 categories per site
Routing Rule,Energy,High Energy,Must,,High Energy / Standard
Routing Rule,Owner Role,Supervisor,Must,,
Routing Rule,Named Owner,Tom Wilson,Must,,
Routing Rule,Review If Needs Attention Now,Site In-Charge,Must,,Site In-Charge / Not Needed
Hazard Category,Category Name,Confined space,Must,,Confirm all 12 names
Hazard Category,Energy,High Energy,Must,,
Hazard Category,Short Description,Toxic atmosphere; engulfment,Nice,,
Spaces,Space Name,Tank 3A,Must,,Need 4–6 spaces
Spaces,Site Name,Plant A,Must,,
Spaces,Location,North tank farm,Must,,
Spaces,Task Type,Confined space entry,Must,,
Spaces,Permit Required,Yes,Must,,Yes / No
Spaces,Holds Rescue Plan,Yes,Must,,Yes / No
