Row	Module / area	UI / User Story	Data (paste into Core.xlsx Task sheet column I)
15	Web - SafeIn5 Admin · Tenant Management	Tenant Summary	(Derived from Tenant list — no extra sample fields)
16	Tenant Management	Tenant Listing	Organisation Name; Admin Contact Name; Status (Live / Invited / Suspended)
17	Tenant Management	Tenant Detail Page	Organisation Name; Status; Live Since; Administrator Name; Administrator Email; Sites (Name, Site In-Charge); Back Office Accounts (Name, Access, Email)
18	Tenant Management	Invite Tenant	Organisation Name; Administrator Name; Administrator Email; Seed Routing Rules (Yes / No); Require Review Before Sharing Needs Attention Now on High Energy (Yes / No)
19	Content	Tab - Take5 Listing	Take 5 Template Name; Task Type; Space Name; Version; Published Date; Last Edited By
20	Content	New / Edit Take5 Template	Name; Task Type; Prompt 1; Prompt 2; Prompt 3; Prompt 4; Prompt 5; Version; Status (Draft / Published); Published Date; Last Edited By
21	Content	Tab - Learn 5 & Rescue Listing	Learn 5 Set Name; Task Type; Version; Published Date; Has Rescue Plan (Yes / No)
22	Content	Edit Learn5	Set Name; Task Type; Card 1; Card 2; Card 3; Card 4; Card 5; Rescue Plan Step 1; Rescue Plan Step 2; Rescue Plan Step 3; Version; Status; Source (Authored / From Echo); Owned By
23	Web - Tenant Admin · Dashboard	Three Tab	Site Filter Options; Date Range Options (Today / This Week / Last 30 Days)
24	Dashboard	Tab - Jobs	Job Reference; Work Description; Space Name; Site Name; Trigger Type; Owner; Start Date; Duration or End Date; Permit Required (Yes / No); Permit Valid To
25	Dashboard	Jobs > Job Detail Page	Job Reference; Space Name; Site Name; Work Description; Owner; Day Of Work; Permit Valid To; Linked Echoes; Space History (Previous Job Reference, Echo Title, Closed As, Owner, Date); Emerging Pattern Note (optional)
26	Dashboard	Job Export Detail Page	Same as Job Detail; Media Files; Voice Transcripts; Acknowledgement Messages; Take 5 Completions; Export Format (PDF / CSV)
27	Dashboard	Tab - Site Manager	(Derived from Echoes, Jobs, Actions, and Learning — no extra sample fields)
28	Dashboard	Tab - Executive	(Derived from Echoes, Users, and Sites — no extra sample fields)
29	Sites	Sites Listing & Tab Group	Site Name; Site In-Charge
30	Sites	Add a site	Site Name; Site In-Charge; Default Supervisor; Require Review Before Sharing Needs Attention Now on High Energy (Yes / No)
